From	To
G3V6H5	Slc25a11
A0JPJ7	Ola1
Q5BK77	Rarres2
A0A5G2QH68	RAB17
Q99LS3	Psph
F2Z427	Pgs1
A0A0R4IZX1	Def6
Q99L88	Sntb1
E0CX62	Psma3
P48060	GLIPR1
U3KPR1	KRT86
F6VT22	Mknk1
F1RGG2	ARHGEF1
F1SGN4	IPO4
G3V6P7	Myh9
Q3TDP9	Emilin2
A0A096MIX2	Ddx17
E9PDU6	CNN3
Q8CIU5	Mtmr1
P82663	MRPS25
A0A140TA49	C4A
A0A5G2R0T9	PCCB
F1RQ08	PLCB3
D3YVH4	Sf1
P97532	Mpst
A0A087WTS8	HSPA4
P50411	Ppp1r2
F2Z4Z6	HDAC3
Q64337	Sqstm1
Q2TAL8	QRICH1
A0A0G2JNX1	HLA-G
Q8IX04	UEVLD
F1RYT5	NUP54
Q9QZS8	Sh2d3c
D3ZJR6	Smcr8
Q8NI37	PPTC7
A6PVX3	PSMD4
A0A1B0GWE2	SPTAN1
C3RZA1	SMYD2
A1L2Z2	MYH14
Q62425	Ndufa4
Q65CL1	Ctnna3
H0YBN4	PABPC1
I3LFQ5	PFKL
O14802	POLR3A
Q9H5V8	CDCP1
B4DK73	WDR41
Q80YV2	Zc3hc1
M0QZC9	SLC27A1
P33527	ABCC1
Q5U1Y2	Rac2
Q8WVC0	LEO1
Q56A27	Ncbp1
Q9UIW2	PLXNA1
Q99J25	Mrm1
Q91VM3	Wdr45
D3ZGK7	Ces1c
M0R7G4	Apoo
C9JYN0	SYPL1
Q6P1J1	Crmp1
Q5SRC5	Cox11
Q91VM9	Ppa2
A0A2R8Y879	ENO1
G3V2X9	ACTN1
F1S2V7	PPP2R5A
P17035	ZNF28
F1RMQ6	LOC110255360
A0A140TAJ5	Pi4ka
A0A1L1ST77	Ppcdc
A0A287A518	PHB
Q13797	ITGA9
G3V9F4	Phactr2
E9Q6C2	C1s1
E5RG77	PLPBP
K7EQD2	HDHD2
O75335	PPFIA4
O43809	NUDT21
Q00623	Apoa1
O75352	MPDU1
D4A3X3	Isg15
P19253	Rpl13a
A0A087WYZ1	CNDP2
D4A3X7	Snx33
D6RDD7	Mfsd2b
O15231	ZNF185
D3ZWN1	Zpr1
A0A0J9YWY6	SVIL
P04104	Krt1
Q80SY5	Prpf38b
A0A0G2K051	Eea1
F1SMD1	DAB2IP
P19804	Nme2
Q8WTS1	ABHD5
Q8CFB4	Gbp5
Q3U466	Cln6
O08573	Lgals9
Q5HZY2	Sar1b
F1RJF7	SDF4
D3YYN7	Atp1a2
F8VPR5	Crebbp
P18754	RCC1
E9QNF5	Fmr1
P54001	P4ha1
Q15155	NOMO1
F5H2W4	MFAP5
O60888	CUTA
P82921	MRPS21
F5GZG6	TPK1
Q3UMT1	Ppp1r12c
Q9CQF7	Pfdn1
Q8N5G2	MACO1
O75494	SRSF10
B1ANR1	PABPC4
Q05AA6	Drp2
Q9JHW2	Nit2
A0A0A6YVV2	Gpx1
Q29329	SNRPD2
Q9Z120	Mettl1
K7EJ57	TOMM40
Q5TBH1	NEK6
H0YDX3	MTMR1
Q8N6R0	METTL13
Q6MG85	Agpat1
F8WIK5	Plekha2
F1LS86	Iars
Q9D8X5	Cnot8
F1SDQ5	EMILIN1
Q7RTP6	MICAL3
Q6RFH4	Gcsam
K7EL50	CALR
F1M7V6	Cadm4
D3ZXK7	Rnf123
F8WAH1	AASS
F1SH89	ACTR8
A6NKH3	RPL37AP8
E9PCG9	BDH1
A0A286ZXY8	FDFT1
Q5VU43	PDE4DIP
Q8K585	Hmga1
D4AC89	Btbd11
Q91XL2	Lnx2
E5RK56	DGLUCY
E9PCT8	SGCA
Q01955	COL4A3
Z4YJE4	Obscn
P02760	AMBP
F1LP46	Supv3l1
F1LRS2	Dock7
P31939	ATIC
O35264	Pafah1b2
D3Z4J3	Myo5a
F1LSK5	Heatr5a
F1S131	CASP6
G3V969	Tfcp2
Q5U1W6	Apool
F1SQX2	EPS8
F1RQE9	CYFIP2
E9Q7G0	Numa1
D3YVB4	Rps15a
E9QAQ8	Muc5ac
A0A140LHH8	Tacc2
E9QQ96	Obscn
D3ZWF3	Immp1l
Q58A45	PAN3
Q6A4J8	Usp7
Q969X6	UTP4
Q3ULD5	Mccc2
A0A286ZR11	CERS2
H7C4K3	ITGB1
B4DLC8	STAT2
F1S7P0	ANKRD24
A0A0G2K6S9	Myh11
P26772	Hspe1
M0R5M7	rCG_63270
Q711S8	SPP2
Q3YJM5	PRKG1
H3BLV0	CD55
P11352	Gpx1
F1S106	MANBA
D6RCB9	NHP2
Q8BII9	Serpina7
D3Z7W3	Rnf170
I3LQ40	PAK3
D6RIE3	COX7A2
Q8BL03	Slc25a29
Q6P6S5	Get1
A5D9M6	BAG6
P41245	Mmp9
F1S8T9	FBXW4
Q5JR06	RHOC
I3LCL0	CLASP1
A0A5S8KS44	CD47
Q96KP4	CNDP2
K7ESQ3	TUBB6
A2AQC3	Atp9a
F8W1K5	CNPY2
F1ST61	CCM2
E7ENM0	ELN
I3LK91	LRRC34
H3BK44	Mia2
A0A0H2UHH6	Hcn4
A0A0B4J1Y9	IGHV3-72
A0A0R4J0W6	Lrrc40
Q16659	MAPK6
M0QXM5	LIPE
D3ZIP3	Epb41
F1RGB9	UBE3B
H0YBI6	TXNRD3
I3L8D5	FLYWCH1
A0A5G2QT73	PDLIM4
F1STR9	ZDHHC18
Q9NW82	WDR70
B5MCV4	C1S
Q9CQH3	Ndufb5
Q91X72	Hpx
Q99KH8	Stk24
Q9EQM3	Nkx2-4
P61107	Rab14
F8W061	NUBPL
Q16881	TXNRD1
Q2I6B2	Atp6v0a1
X6R700	CHTOP
E9Q0Q0	Trnau1ap
Q91ZQ0	Vmp1
A0A140T971	DDAH2
B7ZLQ8	CPEB4
P41777	Nolc1
K7ENW6	KRT16
D4A8F2	Rsu1
A0A0B4J2F3	FOXP1
M0RDR1	Echdc3
Q8NBF2	NHLRC2
P22695	UQCRC2
I3LU36	USP25
F8VSD2	IL32
A0A0R4IZW7	Trmt1
Q9WUQ2	Preb
Q9DBT5	Ampd2
M0R6E0	Atp9a
A0A087WWU8	TPM3
Q00839	HNRNPU
E9PBH4	EIF4A2
D3Z941	Mars
P20042	EIF2S2
F1SN85	RGS3
F1SGI7	KRT75
P58459	Adamts10
Q78RX3	Smim12
Q9CXD6	Mcur1
Q62264	Thrsp
F1SUG7	DDX21
C9J2Q2	ATPAF2
F5GYJ8	OTUB1
Q9WV32	Arpc1b
F1SBF9	TM9SF3
F1SKK3	NCKIPSD
Q5U3Y8	Btf3
Q5U2V2	Serinc3
F1S619	RBM15
Q9ES71	Gnpat
O35783	Calu
Q8BZ52	Fsd2
A0A0G2JST5	Eln
P50222	MEOX2
E7ET92	OSBPL2
Q91W29	Cox4i2
Q16740	CLPP
H7BXT4	SETD2
Q1PBJ1	Mfge8
B1AHN3	FBLN1
O54984	Get3
Q9TSX5	LDHC
D3ZVT2	Thada
Q8R424	Stambp
E9PXD2	Dlc1
E9QP62	Lims1
J3QP41	Creg1
F8WDA8	FHL2
O08623	Sqstm1
P06748	NPM1
Q8VHC3	Selenom
P18614	Itga1
F1RIN7	HRC
D3ZTW1	Ints5
F1LTZ2	Selenon
H0YJF8	SNX6
I3L1J4	CLUAP1
Q91YQ3	Csdc2
Q2HIZ1	THBS3
A0A287ATL0	IBTK
P49023	PXN
F1S8H4	OSGEP
Q9NWT8	AURKAIP1
Q15007	WTAP
P97887	Psen1
F8WGI9	Vldlr
Q8VBZ3	Clptm1
B1AXC8	Chchd7
I3LUQ1	UPF2
F1LNQ5	Nars2
Q96RE7	NACC1
F1S995	PLEKHA7
Q9UBP6	METTL1
Q8TE57	ADAMTS16
C9JST7	YIF1A
Q8TAQ2	SMARCC2
A0A2R8YG21	HADHA
A0A5K1UKC5	BGN
F2Z5J7	ELOF1
A2A432	Cul4b
Q9DC22	Dcaf6
Q08AU7	Myadml2
E7ETJ9	TIAL1
Q9CPW4	Arpc5
Q8J015	RPL13A
B6CVL4	WDTC1
H3BN38	RAB11A
C9J2Q4	SEPTIN2
A0A0R4J0L5	Cog6
Q9JIW9	Ralb
J3QLL2	DPEP2
U3KQL4	SLC37A4
Q99NB8	Ubqln4
Q9BY41	HDAC8
F1SDG5	VPS45
Q80YT7	Pde4dip
Q6AYX2	Ldhc
D4A190	Eif3k
Q9CQT1	Mri1
A2AS47	Pkp4
A2A9M4	Dock7
E0CX79	Zfpl1
P38918	Akr7a3
D3Z9N3	Lars2
Q6AYS7	Acy1a
F1RPN9	ME2
H0Y630	STK24
Q60805	Mertk
Q99KY4	Gak
Q4V7A0	Wdr61
A0A087X072	RECQL4
P27144	AK4
E9PV12	Cul5
A0A0G2JT84	Tsga10
Q13111	CHAF1A
A0A0H2UI14	Fbxl20
A0A0G2JT06	Gps1
D3ZJR1	Eps15l1
Q9UPN9	TRIM33
Q9QZM0	Ubqln2
P52789	HK2
Q9Y266	NUDC
F7CVW0	Sbno1
Q96DM3	RMC1
G3V9N7	Pacsin3
F1SEB1	UBAP1
F1SGY1	ANO6
O75439	PMPCB
Q9Z1A5	Nae1
Q96IU4	ABHD14B
P53801	PTTG1IP
Q6UB35	MTHFD1L
Q00325	SLC25A3
D3ZWR1	Nt5c
G3X8Q0	Sp1
A0A0G2QC64	Wdr34
G3V6I1	Llgl1
A0A5G2R839	VPS26A
A0A5G2Q726	NDUFA5
H3BND9	PCBP2
P16086	Sptan1
F1RT86	CA8
E9PKZ4	TP53I11
Q9BR39	JPH2
P27641	Xrcc5
A0A1D5RLE0	Dock9
A0A0H2UHJ4	Ints12
P38646	HSPA9
Q80TA9	Epg5
D3ZXK4	Abhd11
E0CZ81	Tbce
A0A0A0MSA9	PVR
V9GXM4	Myo6
F1LRN8	Nedd4l
O75830	SERPINI2
F1LM79	Filip1
O55201	Supt5h
P0CG34	TMSB15A
B7ZNJ1	Fn1
D3ZJX5	Timm50
Q6P0K8	Jup
G3UYX8	Mrps18b
E9PVQ3	Spats2l
I3LMV8	ABCB8
A0A5G2RKJ7	MFGE8
Q9D2U5	Naa38
Q5T2T1	MPP7
I3LK62	ALDH1A2
A2AJK8	Ttc1
Q5RK10	Rpl13a
E9PKY5	PPIE
D3Z0I3	Myl2
F8VPT7	Sik2
Q9EQK7	Icmt
E9QMJ1	Asap1
J3QN89	Aamp
P82460	TXN
Q60872	Eif1a
A0A0G2JGI9	Agl
P57016	Lad1
Q6NXL3	Ebf3
C9J0I2	RAB6B
Q8BP56	Pgghg
Q96GA7	SDSL
Q5RJS6	Mospd1
F6V8Y6	Apbb2
E9PUK6	Srrm1
K7ERP6	PRKACA
Q8VCE2	Gpn1
Q14524	SCN5A
Q93084	ATP2A3
F2Z482	Polg2
E9PZC4	Blvrb
M0RCH0	EIF3I
A0A1L1STY4	Uaca
P70452	Stx4
P56182	RRP1
Q5XII0	Epdr1
Q62975	Serpina10
Q14254	FLOT2
B1ALH6	PHYH
I3L4U7	PITPNA
A0A096MK73	Stmn1
F6VF29	Bnip2
I3L0W5	YWHAE
Q80Y81	Elac2
P14210	HGF
F1LU97	Sash1
H0YBI4	PDLIM5
P39748	FEN1
A7YX24	SNCG
Q61292	Lamb2
E9PLY3	CTSB
Q9JJH1	Rnase4
F6RQD1	Mybpc1
Q8BWJ3	Phka2
F1LNX4	Pigw
E9Q1W7	Tbck
P18445	Rpl27a
Q5I012	Slc38a10
F1LTX4	Lrrn4
F1SSC9	MSANTD3-TMEFF1
F1RWF1	KDR
D3YZT9	Eef1d
Q8K3P7	Hint3
Q9Y6Q2	STON1
I3LCA2	CCT8
I3L1D4	RBFOX1
Q9Y3A6	TMED5
D6RER5	SEPTIN11
A0A075B5R6	Ighv11-1
D3Z7T4	Hdac10
E9PND2	CSRP1
P01880	IGHD
Q62930	C9
Q8IYP9	ZDHHC23
Q9CWQ8	Castor1
Q8BLY2	Tars3
A0A0G2KAJ7	Col12a1
Q6ZNE5	ATG14
Q8BVF2	Pdcl3
F1RFJ6	ARL6IP4
P62849	Rps24
D4A914	Xrn2
F1SA04	AKAP8
F1SM41	MALT1
A0A0A0MRF9	PLCG2
Q923W1	Tgs1
K7EN98	TUBB6
F1SPT5	LAMB2
G3V6T7	Pdia4
G3V8S4	Atp12a
G5EA31	SEC24C
P97868	Rbbp6
Q8BXQ2	Pigt
O75365	PTP4A3
P27659	Rpl3
Q04828	AKR1C1
R4GN98	S100A6
E9PE15	CLCN3
B1AVP0	Phactr2
Q6IN10	Ece1
Q15061	WDR43
Q01968	OCRL
F8WFS9	Add2
F1S203	MYO19
A0A5K1VS15	NDEL1
Q66HG5	Tm9sf2
I3L2R7	SERPINF1
D3YZ71	Ap1m1
A0A0U1RVI9	rCG_34378
F1RK19	PHF11
D3ZDX5	Plxnb1
P51970	NDUFA8
F1SHM4	TIAM1
P27321	Cast
Q9CSH3	Dis3
Q9BTV4	TMEM43
O54916	Reps1
Q8NFW8	CMAS
V9GY57	SMC1A
Q9Z0J1	Reck
U3KQE4	SERAC1
F6SMY7	Mycbp2
P56741	Mybpc3
Q9ESZ0	Xrcc1
Q5T0R3	CAP1
Q91ZB0	Alpk2
F8WG67	Acot7
Q9CQJ2	Pih1d1
P35244	RPA3
B5DF26	Osbpl8
F1STJ4	AMOTL1
Q9R069	Bcam
P53597	SUCLG1
A0A0R4J044	Pcbp4
A0A2R8Y6L3	RPS10-NUDT3
Q9H6F5	CCDC86
D6RHV3	CKMT2
P45983	MAPK8
F6RUH9	Pex1
F1SKP7	LOC100523244
Q13263	TRIM28
Q9UM22	EPDR1
A0A0G2K3I9	Dusp3
G3V9U2	Acaa2
Q8C4Y3	Nelfb
P30204	Msr1
P54757	Epha5
P55292	Dsc2
Q32Q07	Lrrn1
B2RXQ4	Nek1
Q3UUG6	Tbc1d24
E5RGY6	CTNNA1
Q66H91	Git2
Q86V81	ALYREF
F8VWK8	CD63
F1RRS3	NSF
B2RYJ3	Cul4a
P06238	A2m
I3LK34	ACAD10
A2VCX1	Tiprl
Q6XPS7	Tha1
F1M0V4	Thoc2
M0QY29	LIPE
Q99808	SLC29A1
F1RZA0	TXNL4A
Q61142	Spin1
E7ESK6	SDC2
Q8BKC5	Ipo5
Q5TF55	ALDH4A1
Q8BZ36	Rint1
D4A346	Acap3
D4A4Z0	Ccdc12
B0BNM4	RGD1308134
Q15642	TRIP10
F1SG95	MRPS35
E9PT37	Rbm20
Q3TKX1	Atp6ap1
F1SQU2	SCYL2
J3KMW2	VTI1B
B7ZBY7	Ube2v1
B1AMG5	PCSK5
A0A0G2JZL9	Esam
Q8NCF5	NFATC2IP
E9Q1K3	Add1
Q80TE4	Sipa1l2
M0RBA8	Eng
A0A087X2I1	PSMC6
I3L6Y9	DICER1
A0A0N4SV80	Zfp638
A0A287BQ62	NDUFB2
P00336	LDHB
Q2NKQ5	RTN1
F1RMN7	HPX
F6PZM7	WDR45
P20618	PSMB1
M0R686	Irgq
F1SL22	VWF
C9JYX9	PCOLCE2
D6RJD1	CLTB
F6S5I0	Mprip
P51957	NEK4
Q3SXM5	HSDL1
Q8K0C9	Gmds
A0A0G2K8V2	Vcl
C9J931	RHEB
A0A0U1RPJ3	Plin1
Q8BKC8	Pi4kb
F1SV36	LOC100522887
Q62865	Pde3a
P04264	KRT1
F6SXM5	Ssb
E9PZJ8	Ascc3
A0A0A0MT72	CCM2
E9Q397	Sptb
A0A1L1SVK0	Pafah1b2
P31006	GUK1
O00139	KIF2A
P68137	ACTA1
Q6KAS7	Znf521
Q5T1J5	CHCHD2P9
I3LR20	DDX46
Q9QYV8	Polg
Q15257	PTPA
A0A287BHM4	API5
P25236	Selenop
G3X8W2	Retnla
Q9WU49	Carhsp1
Q9Z2G6	Sel1l
Q3TUH1	Tamm41
B0BN46	Grhpr
Q6AXZ0	Paip2
H3BJU7	Arhgef2
Q3UWZ0	Trim75
K7GS99	APAF1
Q6PJI9	WDR59
E9PZA7	Trrap
P35564	Canx
P0C5I0	Cdnf
B0LPN4	Ryr2
Q8K2Z2	Prpf39
A0A0R4J256	Psmb9
Q9H063	MAF1
D6RDS0	Rusf1
Q5FVQ9	Tbce
E5RFK4	DMTN
A0A075B5V5	Ighv1-39
G3V810	Mtmr10
Q9D034	Gna13
A0A075B5W2	Ighv1-52
P57105	SYNJ2BP
P40616	ARL1
Q86U28	ISCA2
Q8C3V4	Stat1
Q8TAT6	NPLOC4
D3ZN39	Usp8
Q3TWF7	Anapc5
A0A0A6YXC8	Enah
H7BWY4	Dlg1
Q5M7T2	Spryd7
Q63691	Cd14
G3V7M0	Cnot1
P01762	IGHV3-11
Q8WXI2	CNKSR2
Q8C3I8	Hgh1
D4A3D6	Erg
C9JQU6	ARL6IP5
Q3UGN9	Stam
P35821	Ptpn1
G3V7T3	Pank4
P35278	Rab5c
A0A287BH12	NT5C2
F1SBF1	SULF2
G3V2N3	PRRX1
F1SJZ1	STC2
D3ZHR8	Tyw3
A0A1C7CYU5	Fhip1b
C9JXX4	IGFBP5
J3QR09	RPL19
O55012	Picalm
Q9NSK0	KLC4
Q9UFN0	NIPSNAP3A
Q6ZU52	KIAA0408
F8W9J0	SLC25A12
H0YKJ4	TPM1
P38432	COIL
D3Z0Y2	Prdx6
Q61335	Bcap31
A2A9V7	Slc25a19
D6RDS6	Mtmr14
Q5T0R8	CAP1
O43837	IDH3B
F5H538	MAP3K4
Q6UW02	CYP20A1
Q0ZFS7	Gpat4
A6NKD9	CCDC85C
Q13363	CTBP1
Q8VHE0	Sec63
Q9Y4G6	TLN2
D3Z124	Apex1
Q96FT9	IFT43
P17152	TMEM11
J3QRR3	PSMC5
F1SPR8	PWP1
Q6P6P5	Gm21985
A0A5S6G3W0	ATP5MF
A0A286ZL07	BUB3
P35505	Fah
H7C3C7	SNAP47
Q6UWP8	SBSN
F1S5U0	ZNF672
Q8WXG6	MADD
B2GV97	Sepsecs
P17708	Amd1
F1S300	TPR
Q9CQ13	Coprs
P15336	ATF2
E9QL31	Dab2
Q91ZN5	Slc35b2
P37889	Fbln2
Q3TIV5	Zc3h15
P0CG22	DHRS4L1
A0A1B0GSK5	Rcn3
E9PF06	MRPL3
A0A140LJB7	Gps1
I3LFB1	PPP1R8
Q60714	Slc27a1
D3Z0X8	Mtfr1l
D3ZQL7	Tppp
F1SIW0	STAB1
E9Q842	Nav2
B1ART2	Vps13d
P07900	HSP90AA1
P36639	NUDT1
F8W7T1	DPF3
D3ZAF9	Sh3pxd2b
P53621	COPA
Q66WT9	Picalm
D4A0Y4	Oxnad1
P08461	Dlat
D3ZBQ1	Foxo3
I3LPC6	IFT172
Q96L14	CEP170P1
Q9H6X2	ANTXR1
Z4YJU0	Tnnt3
Q8NFP9	NBEA
P68431	H3C1
P68431	H3C10
P68431	H3C11
P68431	H3C12
P68431	H3C2
P68431	H3C3
P68431	H3C4
P68431	H3C6
P68431	H3C7
P68431	H3C8
P23358	Rpl12
Q9EQW7	Kif13a
F7CUV7	Epn2
I3LB82	TRIM52
H3BVB2	ATP2A1
F1S1V6	FASTKD1
O95197	RTN3
Q922S4	Pde2a
P97563	Tmsb15b2
A0A5K1U735	RTN4
Q8CFI7	Polr2b
P78362	SRPK2
I3L5X5	BICD1
A0A0R4J196	Spag9
F1S4B0	SMOC1
A0A1W2P7A1	Rps12
B2RQS1	Strn3
Q9CZJ0	Mpped2
B8JJN2	C2
R9PXU6	Vcl
Q16186	ADRM1
D3Z786	Mpc1
J3QWB6	SMARCD2
H3BP77	TK2
F2Z3S5	Rbpms
Q9BUH6	PAXX
A0A182DWF2	TXNRD2
Q9BSL1	UBAC1
F5H883	M6PR
Q09028	RBBP4
P35558	PCK1
Q6IMX5	Cd36
F1RLR4	ERCC4
J3KNB4	CAMP
Q9TDR1	MT-ND5
Q3TY56	Eif3k
P86252	Pura
F1RYS9	STBD1
F1CK17	IGF1R
D3Z7B5	Cip2a
O95274	LYPD3
E7EMG1	TNS1
H0Y9Z9	ACSL1
O43172	PRPF4
D6R9K8	ADH4
Q9R1Z0	Vdac3
Q3URD3	Slmap
P08289	Alpl
Q9NWH9	SLTM
A0A087X0R6	SNX12
A0A0R4J0R3	Isg20l2
E9Q2W9	Actn4
A0A1B0GRQ7	Trak1
Q641Y5	Atg7
K7EPW7	PRKCSH
F1SV49	DDI1
Q8VBW6	Nae1
E9PZ91	Fhit
M0RBH9	Gas1
P47964	Rpl36
H7C0S1	CPT1B
Q6Q7Y5	Gna13
E9PKD5	PSMC3
A0A287ATJ4	CRYAB
D3YWS3	Pfn2
D3YZ06	Hspb1
Q6ZQA0	Nbeal2
G3V7U4	Lmnb1
P70202	Lxn
Q5F1R6	DNAJC21
P97432	Nbr1
O35098	Dpysl4
P60060	Sec61g
P98064	Masp1
Q3TWL5	Itfg2
J3KNN3	PHKG2
Q9BZG1	RAB34
H0Y6N5	SUN1
F8VSD4	UBE2N
F8W727	RPL32
C9JUP7	VCP
E5RI98	NPM1
Q6P9J5	Kank4
S4R369	MRPL37
F5H388	UBC
F1LSF5	Plin1
P62755	Rps6
Q69ZP3	Pnkd
Q9NQ39	RPS10P5
M0QXI6	RUVBL2
Q9QX79	Fetub
Q4KM55	Vta1
P52631	Stat3
P47857	Pfkm
F1LQ91	Dock11
F1SQF7	TADA3
Q568Z0	Tcp11l2
P62192	Psmc1
Q1KS52	ALS
A0A0G2JFK6	Ccdc12
O35368	Ifi203
F8W8W4	PCYOX1
D3ZZL1	Rad52
Q3TDK6	Rogdi
F8WCA5	RBM6
H0YBG7	HNRNPH1
A2AKJ9	Sdcbp
H0Y548	PPIF
B2RYM3	Itih1
I3LK59	ENO1
Q9DBS1	Tmem43
F8VNW4	NACA
A0A0G2K9Y0	Ighm
Q9DBR0	Akap8
I3LSI7	POLR2E
Q04899	Cdk18
A0A5G2QM73	GNAI1
Q91X76	Nt5dc2
P61024	CKS1B
A0A0G2JSM3	Pdlim3
Q8IY18	SMC5
Q7LG56	RRM2B
Q80UU9	Pgrmc2
Q8ND24	RNF214
Q8BRB6	Tbc1d24
Q9EPU4	Cpsf1
Q80SU7	Gvin1
F6Q2M9	FAM210B
Q8BSI6	R3hcc1
F1LQ70	Alox12
E9QPD7	Pcx
I3LDJ9	BNIP3
G3V8N8	Slc7a6os
Q3UIZ8	Mylk3
F1M1A6	LOC681355
A0A287B5N7	TPM1
H3BRT9	NDRG4
B1AMU7	EXOSC1
A0A0A0MQ90	S100a13
B7ZCU5	Abi1
P51178	PLCD1
P55260	Anxa4
M0QY97	ZC3H4
I3LF98	STK39
B5MBW9	CHCHD10
E7EWR4	CSTF2
F1LSG8	Vps50
A2AFI3	Rbmx
P35610	SOAT1
Q6WKZ4	RAB11FIP1
P31809	Ceacam1
A0A5S6GBZ7	CAPN1
Q8NCC3	PLA2G15
P21845	Tpsb2
G3V9J7	Rabep1
B2GUZ5	Capza1
Q5SUA5	Myo1g
Q8R2Y2	Mcam
A0A5G2R0F5	ADK
Q15059	BRD3
Q9DBD5	Pelp1
F1S0P6	DHX58
P15692	VEGFA
Q9D1R1	Tmem126b
Q8BWZ3	Naa25
P11835	Itgb2
Q9H773	DCTPP1
A0A075B5V8	Ighv1-47
Q6AYB2	Sphk2
Q8R1C6	Mettl22
Q9BZ72	PITPNM2
Q5U1Z8	Pyurf
P14882	Pcca
F1SUG3	VPS26A
Q6KF10	GDF6
A0A5G2RGV8	TFAM
Q9Z2L7	Crlf3
D3ZS55	Sbspon
F1S4V3	FHIP2A
O35142	Copb2
Q9P032	NDUFAF4
A0A024QZP7	CDK1
I3LN54	ARL6IP1
F1SSJ8	DAAM1
K7GSK9	PRKAG3
K7GMI5	SLA-8
P04083	ANXA1
P28352	Apex1
F1M784	Pik3ap1
Q6T4R5	NHS
Q566R0	Them4
O43182	ARHGAP6
B7Z2E6	YWHAZ
E9PKQ5	CCDC90B
A0A087WWA2	GNPTG
P42128	Foxk1
D4A0Y0	Trim5
P59235	Nup43
E9PV80	Ncoa2
A0A0G2K5P8	Glrx3
Q3UHC1	Rapgef1
D6RH49	Rps27l
D3ZCD4	Pitpnb
I3LBF9	PJA1
Q9Z0Z7	Klf5
C9JM19	RPS9
A4Z6H0	ADSS1
G3UZ04	Mtmr12
D3ZBT9	Ppp6r3
A0A1W2P7Z3	Ube2n
I3L8T3	TRMT5
Q9NX78	TMEM260
Q6ZPF4	Fmnl3
D3ZMP6	Nop10
G5E9G0	RPL3
F1S9Z2	WDR20
Q9Y2K7	KDM2A
H7C457	COL18A1
Q96EV8	DTNBP1
P24270	Cat
Q9CYZ6	Rex1bd
F1S4M8	STIM2
Q4VC31	MIX23
Q9UK22	FBXO2
Q8NDH3	NPEPL1
A0A5G2QCA3	ATL3
A2AEA2	HLA-C
Q9Z130	Hnrnpdl
A0A075B759	PPIAL4E
G3V5T9	CDK2
Q8BJ56	Pnpla2
D3ZXL1	Arih1
O15126	SCAMP1
A0A087WP13	Plekha6
F1LP62	Plcl1
I3LIX4	STK39
Q9DB98	Leng1
Q02763	TEK
F1REX9	ARPC1A
Q61411	Hras
F1RWP3	CYGB
F1S1N1	LOC100513601
G3V6X1	Fbln2
A0A0C4DGG9	CHD4
E9PDL4	ICA1
A0A087WSE7	Cacna1c
A2A6T4	Mrpl58
H0YNJ9	DUT
Q92843	BCL2L2
P58391	Kcnn3
P24311	COX7B
B2GUV7	Eif5b
Q3U3J1	Bckdha
P08132	ANXA4
F1LUE2	Camk2b
F1RJH2	ACADS
P20612	Gnat1
F1ST03	POGZ
Q9JM73	Srf
O43759	SYNGR1
F1SCF0	SERPINA1
E9PW69	Psma4
Q3TRY5	Tbxas1
Q9R269	Ppl
A0A1L1SSQ9	Ppcdc
A0A2C9F3A0	CCK
Q14558	PRPSAP1
F1SLQ7	MRRF
Q6P9V1	Cd81
H7BZE9	GPC1
A0A0G2K2P6	Hbs1l
B0QZU2	Prelid3b
G3V3I1	PSMA6
D4A020	Med14
Q9UBK9	UXT
Q8R480	Nup85
A0A087WZ65	ANK3
Q8NBN7	RDH13
A0A0G2JWA8	Macf1
Q29545	ICA
P35590	TIE1
E7EQN5	ARHGAP4
Q6ZPR5	Smpd4
F1LQF5	Ubac2
Q3TIZ5	Apbb2
P02765	AHSG
Q9NRZ7	AGPAT3
O95834	EML2
Q6ZN06	ZNF813
E7EN72	PRPF31
F1SC82	MYOF
Q5FVM7	Dnajc16
Q6AYG2	Dnajc28
F7FJR8	Las1l
D4AAU4	Rprd1a
F1SLR1	NDUFA8
O00571	DDX3X
F7EPH4	Ppa1
F1RQL8	IBTK
C9JLV6	MDH1
P05023	ATP1A1
Q6P725	Des
Q62806	Znf148
H7C2H9	PRMT2
P00375	Dhfr
G3V9G3	Camk2b
Q8IWJ2	GCC2
Q767K8	MRPS18B
Q5PQR4	Rsrc2
F1LMW7	Marcks
Q6AYI5	Shoc2
G3V563	MAX
H0YC23	PPP2CB
P04150	NR3C1
P58802	Tbc1d10a
Q9BS26	ERP44
B1AV75	Cfap418
P43406	Itgav
F1SUW3	CTRC
P17081	RHOQ
Q8N4P3	HDDC3
I3L1I0	GLOD4
Q61550	Rad21
B8ZZW7	PTMA
B3KS98	EIF3H
V9GX32	Ext2
F1RR78	SPTAN1
Q8IXS6	PALM2
Q7TQ75	Map1lc3b
P01041	Cstb
K7ESM3	LGALS3BP
E9PLA2	RHOC
Q9CQT0	Thg1l
Q9D328	Tmem35a
F1RID6	STARD5
F1S2E1	VMA21
I3LM95	ARSL
A0A287AXP9	COLGALT1
F8VRZ4	TUBA1A
Q5M7W1	Txnip
M0R7S5	Plin4
A0A0J9YUR2	Specc1
E9PSG1	CAST
Q6GQQ2	Pick1
Q6AYS8	Hsd17b11
F1SN95	NUP155
H3BPK7	AARS1
Q96SB8	SMC6
H7C5V3	MRPS28
F1S4Q9	CDC42EP3
