From	To
D3ZDS4	UniRef90_O35130
F2Z5K4	UniRef90_A0A4X1T6K8
Q15404	UniRef90_Q15404
O75356	UniRef90_O75356
M0RAA8	UniRef90_M0RAA8
Q86WW8	UniRef90_Q86WW8
P47875	UniRef90_P47875
I3L7B7	UniRef90_I3MFP7
F2Z5J3	UniRef90_A0A452E9X8
P62761	UniRef90_P62760
O35814	UniRef90_Q60864
A0A0A0MQX2	UniRef90_Q9HD23
A0A287B3Y5	UniRef90_A0A4X1W5M1
Q9CZD5	UniRef90_Q9CZD5
Q9NX40	UniRef90_Q9NX40
B7ZCI2	UniRef90_B7ZCI2
F1RYA1	UniRef90_F1RYA1
Q8CFX3	UniRef90_Q08174
Q66HD0	UniRef90_P14625
Q9D6Z1	UniRef90_Q9D6Z1
A0A0R4J0Z0	UniRef90_Q3U6U5
P20612	UniRef90_P11488
F1M324	UniRef90_Q8K394
J3QRJ3	UniRef90_P04216
B2RYJ4	UniRef90_Q9CQF6
B1AHM7	UniRef90_P23142
P50747	UniRef90_P50747
Q6AXM5	UniRef90_Q9Y6K0
Q99P39	UniRef90_Q9Z1J3
A0A0G2JSM1	UniRef90_Q9BCZ4
C9JN98	UniRef90_P07093
E7EVE9	UniRef90_P18074
Q9ES54	UniRef90_Q9ES54
G3V6P8	UniRef90_Q9DAS9
E9PFK5	UniRef90_P78316
F1RZY9	UniRef90_G3X6G7
P08413	UniRef90_P08413
H0Y8G5	UniRef90_H0Y8G5
B8ZZW5	UniRef90_Q8NBF6
P61022	UniRef90_P61022
I3LPL9	UniRef90_A0A6J0VSM0
H0Y465	UniRef90_P21359-2
F1RJI2	UniRef90_A0A2Y9RWL0
I3LVJ4	UniRef90_P53714
C9JFA7	UniRef90_Q8N335
Q06890	UniRef90_P05371
H3BT58	UniRef90_A0A5F5XRM0
Q9Y4R8	UniRef90_Q9Y4R8
X6RJ95	UniRef90_X6RJ95
Q80ZX0	UniRef90_Q80ZX0
A0A5G2R8A0	UniRef90_A0A5G2R8A0
Q91ZX7	UniRef90_Q07954
F8WA26	UniRef90_Q8WX93
Q0VF96	UniRef90_Q0VF96
A2ABV5	UniRef90_O60244
D3ZQN7	UniRef90_P02469
G3V7B0	UniRef90_G3V7B0
D6RAN8	UniRef90_Q9P0M9
P29117	UniRef90_Q99KR7
O14556	UniRef90_O14556
Q99J77	UniRef90_Q99J77
G3V556	UniRef90_G3V556
P46821	UniRef90_P46821
Q91Z49	UniRef90_Q91Z49
P14649	UniRef90_P14649
Q62351	UniRef90_Q62351
D3ZAL7	UniRef90_D3ZAL7
D4ABN8	UniRef90_P97789
P42676	UniRef90_P42676
Q3SWT4	UniRef90_Q96ST2-3
P0DPI2	UniRef90_P0DPI2
C9J0H3	UniRef90_A0A2I3N0M3
D4A5T6	UniRef90_D4A5T6
A0A287BJ57	UniRef90_A0A4X1W2L2
P62982	UniRef90_P62983
P10176	UniRef90_P10176
Q9JJI8	UniRef90_Q9JJI8
D6RC06	UniRef90_D6RC06
A0A287AXW3	UniRef90_A0A4X1URU2
F1S1G0	UniRef90_P60228
P00762	UniRef90_P00762
D3ZAI6	UniRef90_Q3UHB1
M0RDI5	UniRef90_M0RDI5
D3ZZR3	UniRef90_D3ZZR3
P35465	UniRef90_P35465
F1S7V6	UniRef90_A0A5G2RL03
Q96FV9	UniRef90_Q96FV9
Q9BR61	UniRef90_Q9BR61
J3KSW8	UniRef90_Q6WCQ1-3
F2Z563	UniRef90_A0A4X1TCT6
Q9R037	UniRef90_Q9R037
A0A0R4J1E4	UniRef90_Q8BLY1
C9J050	UniRef90_M3X9J4
Q3UN90	UniRef90_Q3UN90
B5DFA0	UniRef90_B5DFA0
F1RHZ8	UniRef90_Q9NWS0
D3ZRD3	UniRef90_D3ZRD3
Q6AXT0	UniRef90_Q6AXT0
Q91YQ3	UniRef90_Q63430
H0YH31	UniRef90_H0YH31
Q91VC4	UniRef90_Q91VC4
M0QXM9	UniRef90_M0QXM9
C9JJ54	UniRef90_G3QS66
A0A0G2K3I3	UniRef90_D3ZJR7
Q9UBS0	UniRef90_Q9UBS0
Q9DCV7	UniRef90_Q9DCV7
H7C0X8	UniRef90_H7C0X8
Q9Z0J5	UniRef90_Q9Z0J5
Q61696	UniRef90_P17879
I3LRN5	UniRef90_Q9GZT1
Q6Y1S1	UniRef90_Q6Y1S1
Q924X2	UniRef90_Q63704
Q66HA5	UniRef90_Q8K1A6
E7ESM1	UniRef90_F6SVQ9
Q8BSZ2	UniRef90_P59780
E9PG08	UniRef90_Q9UGM5
F6TUL9	UniRef90_F6TUL9
Q9CXF4	UniRef90_Q8TC07-3
K7GN67	UniRef90_A0A4X1T731
P07902	UniRef90_P07902
I3LBQ0	UniRef90_A0A4X1UNP0
Q9GKX6	UniRef90_Q9GKX6
Q12797	UniRef90_Q12797
P53026	UniRef90_P53026
P61023	UniRef90_P61022
A0A5S6HKB0	UniRef90_A0A8D1W5N6
P08473	UniRef90_P08473
I3LC09	UniRef90_Q3SZB3
Q16740	UniRef90_Q16740
D3ZKC9	UniRef90_A2AIV2
O43684	UniRef90_O43684
A0A1W2PQK2	UniRef90_A0A1W2PQK2
F1RSF6	UniRef90_A0A4U1ETF9
I3LDQ1	UniRef90_Q71LX4
P23242	UniRef90_P17302
D3ZWS0	UniRef90_D3ZWS0
A0A287AR93	UniRef90_F1SIC0
K7EM73	UniRef90_A0A2I3SDN3
P70296	UniRef90_P31044
P51813	UniRef90_P51813
P40425	UniRef90_P40425
D4AA35	UniRef90_D4AA35
K7ENJ0	UniRef90_A0A2K5RA67
Q5XID7	UniRef90_Q8BHS6
F1LM66	UniRef90_Q15029
P41208	UniRef90_P41208
F1SQR8	UniRef90_P09960
Q8VDY9	UniRef90_Q8VDY9
A0A087WUI2	UniRef90_I6L957
F1M051	UniRef90_F1M051
P35609	UniRef90_P35609
Q96IK1	UniRef90_Q96IK1
B3KRD8	UniRef90_Q99J08
Q8R409	UniRef90_Q8R409
H3BUR9	UniRef90_A0A2R8M566
R4GN43	UniRef90_P56556
C9J4I9	UniRef90_Q92626
Q5TZA2	UniRef90_Q5TZA2
D4A8H3	UniRef90_D4A8H3
E9Q411	UniRef90_E9Q411
P09668	UniRef90_P09668
Q09013	UniRef90_Q09013
Q13907	UniRef90_Q13907
Q9CXZ1	UniRef90_Q9CXZ1
Q2M3C7	UniRef90_Q2M3C7
I3LKU0	UniRef90_Q9TU25
P20417	UniRef90_P20417
C9JAW3	UniRef90_P07633
F1LSQ0	UniRef90_A0A384CRJ7
O35465	UniRef90_O35465
F1RFD3	UniRef90_Q15459-2
S4R456	UniRef90_P62841
E9PNR6	UniRef90_Q5FWK3
F1LNM0	UniRef90_F1LNM0
H3BQQ9	UniRef90_P63279
Q8BFP9	UniRef90_Q15118
F8VVB5	UniRef90_F8VVB5
A0A0B4J296	UniRef90_A0A0B4J296
Q5SRE5	UniRef90_Q5SRE5
A0A0G2JZH8	UniRef90_A0A0G2JZH8
F1RU22	UniRef90_A0A481DBY5
F1LRJ9	UniRef90_Q8VIF7
F8WEV0	UniRef90_D6RDI8
F5GZG6	UniRef90_A0A2I3GCI1
Q5M8N4	UniRef90_Q5M8N4
Q8CH40	UniRef90_Q8CH40
F5H6B6	UniRef90_A0A2I3RYN0
P17012	UniRef90_P17012
Q9D1I6	UniRef90_Q9D1I6
F1RW07	UniRef90_F1RW07
F2Z546	UniRef90_A0A6G1S134
P56932	UniRef90_Q66LE6
Q9NRG1	UniRef90_Q9NRG1
Q6AXS3	UniRef90_Q6AXS3
Q9CPR7	UniRef90_Q5FWT9
F1RL04	UniRef90_A0A4X1V1E0
A5GFX7	UniRef90_A5GFX7
F1RNQ3	UniRef90_F6X6B1
F1S9S8	UniRef90_A0A3Q2GWR9
A0A087WYT3	UniRef90_M3W5A8
F1RHM8	UniRef90_A0A4X1ULB9
H7C1F6	UniRef90_H7C1F6
F1M4I4	UniRef90_Q9UID3
F1SJE8	UniRef90_F1SJE8
D6RAF1	UniRef90_D6RAF1
Q91XD6	UniRef90_Q91XD6
E9QNL5	UniRef90_P52840
Q5VT52	UniRef90_Q5VT52
Q99487	UniRef90_Q99487
Q9QZE7	UniRef90_Q99598
Q9UHK6	UniRef90_Q9UHK6
Q96AB3	UniRef90_Q96AB3
D4A4K6	UniRef90_Q80XB4
I3L522	UniRef90_I3L522
B5DF89	UniRef90_Q13618
Q6P4Z9	UniRef90_Q99627
K7EME0	UniRef90_P42765
G3V8R7	UniRef90_Q8CHY6
P61203	UniRef90_P61201
P40306	UniRef90_P40306
I3LDT2	UniRef90_F1SI65
B3KTM8	UniRef90_B3KTM8
D3ZBB8	UniRef90_Q9JJ79
F1SPK8	UniRef90_A0A6I9ITP5
J3QKU9	UniRef90_J3QKU9
H7C4G5	UniRef90_Q9Y265
A0A1W2PRQ0	UniRef90_A0A087X178
A0A1B0GUX9	UniRef90_A0A1B0GUX9
P28661	UniRef90_P28661
K7ELQ9	UniRef90_Q6UW68
Q8BI84	UniRef90_Q8BI84
Q9UGM6	UniRef90_Q9UGM6
P12931	UniRef90_P12931
F1SR66	UniRef90_Q03137
Q9Y6R4	UniRef90_Q9Y6R4
O55126	UniRef90_O55126
A0A0J9YWF7	UniRef90_A0A2I3H940
O75521	UniRef90_O75521
Q00PI9	UniRef90_Q00PI9
Q9CZA6	UniRef90_Q9CZA6
F1S8C7	UniRef90_A0A4X1V384
O15455	UniRef90_O15455
P38646	UniRef90_P38646
E9PCY5	UniRef90_Q02880
A0A480YBA9	UniRef90_A0A8D1LEZ3
Q5U1Y3	UniRef90_Q71FD7
Q6RUV5	UniRef90_P63000
A0A5G2QSH2	UniRef90_Q13151
Q9DBC0	UniRef90_Q9DBC0
Q6AXU0	UniRef90_Q6AXU0
Q6AW69	UniRef90_Q6AW69
F1RQM0	UniRef90_F1RQM0
Q6AYJ8	UniRef90_Q6AYJ8
F1SHQ8	UniRef90_F1SHQ8
B5DF91	UniRef90_Q15717
Q8K021	UniRef90_O15126
A0A0H2UHV7	UniRef90_Q14CH7
Q9CZU4	UniRef90_Q9CZU4
Q8CHP5	UniRef90_Q8CHP5
P15864	UniRef90_P15864
F6QA08	UniRef90_P30101
Q9NQG6	UniRef90_Q9NQG6
C9JDV8	UniRef90_Q9BPW8
F1LRJ0	UniRef90_Q80UY2
Q3TPX4	UniRef90_Q3TPX4
F1LWG4	UniRef90_Q9CWX2
Q4QQV0	UniRef90_Q922F4
Q29307	UniRef90_Q29307
Q9JLT6	UniRef90_Q9JLT6
F1M1H0	UniRef90_Q91YP3
Q9H0X9	UniRef90_Q9H0X9
R4GNF4	UniRef90_R4GNF4
F1ST43	UniRef90_A0A4X1V0U7
F1RJL2	UniRef90_P78347
D3ZB76	UniRef90_Q5BIP8
F8VWV4	UniRef90_F8VPE8
F2Z393	UniRef90_F2Z393
B1H264	UniRef90_B1H264
Q11136	UniRef90_Q11136
Q9NXJ5	UniRef90_Q9NXJ5
Q9H3U7	UniRef90_Q9H3U7
P51553	UniRef90_P51553
F1LSX3	UniRef90_Q64277
Q86TN4	UniRef90_Q86TN4
P36915	UniRef90_P36915
Q9NX14	UniRef90_Q9NX14
Q13363	UniRef90_Q13363
P56225	UniRef90_P56225
F1SG41	UniRef90_F1SG41
F1RR45	UniRef90_G1PHY2
P63085	UniRef90_P63085
P52481	UniRef90_P52481
E9Q6D8	UniRef90_Q91X70
Q8TCJ2	UniRef90_Q8TCJ2
F1SFQ3	UniRef90_F1SFQ3
Q9DBJ1	UniRef90_Q9DBJ1
Q06136	UniRef90_Q06136
P08670	UniRef90_P08670
E5RK79	UniRef90_Q16363
C9JJE5	UniRef90_H0XC28
Q6AY24	UniRef90_Q6AY24
Q3U367	UniRef90_Q9JLJ3
A0A286ZIE8	UniRef90_A0A4X1VRN7
F1LMA4	UniRef90_F1LMA4
E7EUT5	UniRef90_E7EUT5
Q8CD91	UniRef90_Q8CD91
F1RSG8	UniRef90_A0A4X1T3H2
B2RYJ2	UniRef90_Q923B1
F1RYA4	UniRef90_A0A340Y0K5
B2RYM5	UniRef90_B2RYM5
Q8IYJ1	UniRef90_Q8IYJ1
F1S4Y9	UniRef90_A0A4X1T202
F1RR27	UniRef90_A0A4X1SMT8
Q5SZR1	UniRef90_Q5SZR1
B2DCZ7	UniRef90_B2DCZ7
Q9Y2B9	UniRef90_Q9Y2B9
G3V1B3	UniRef90_G3V1B3
Q9CZN7	UniRef90_P34897
F1M5N4	UniRef90_F1M5N4
F1SPG9	UniRef90_Q9BSJ8
A0A1W5DU98	UniRef90_Q810U4
P53420	UniRef90_P53420
Q96Q06	UniRef90_Q96Q06
G3V7N8	UniRef90_P97840
F8W6X9	UniRef90_Q7Z5N4-3
F1SIA1	UniRef90_F1SIA1
O00339	UniRef90_O00339
F2Z4Y8	UniRef90_P62280
O95361	UniRef90_O95361
F1SDI6	UniRef90_A0A480L6F1
B2RZB5	UniRef90_Q9DB34
Q3UHN9	UniRef90_Q3UHN9
Q7TPB1	UniRef90_P50991
A0A5G2QDT5	UniRef90_A0A5G2QDT5
Q15363	UniRef90_Q15363
Q9D1P4	UniRef90_Q9D1P4
Q7Z434	UniRef90_Q7Z434
O95084	UniRef90_O95084
Q9Z1X2	UniRef90_Q9Z1X2
P13284	UniRef90_P13284
F7C106	UniRef90_F7C106
Q08174	UniRef90_Q08174
H3BN34	UniRef90_A0A5E4BGD5
K7GT64	UniRef90_P51532
J3KRZ9	UniRef90_Q9H3Q1
Q96RE7	UniRef90_Q96RE7
Q96CF2	UniRef90_Q96CF2
Q9ERG2	UniRef90_Q13033
Q6AY02	UniRef90_Q96I25
Q13155	UniRef90_Q13155
F1SPF7	UniRef90_M3W5E3
Q15428	UniRef90_Q15428
I3LCQ9	UniRef90_P01116
J3KRH2	UniRef90_J3KRH2
H7BYX9	UniRef90_H7BYX9
H0YLI3	UniRef90_H0YLI3
F1RVN1	UniRef90_P49821
A2IDB2	UniRef90_A2IDB2
I3LI06	UniRef90_Q5R9Y9
D3DX48	UniRef90_D3DX48
A0A0G2K2T1	UniRef90_A0A0G2K2T1
P62737	UniRef90_P62736
D3ZPF2	UniRef90_D3ZPF2
A0A0B4J2A4	UniRef90_P42765
Q8VBZ3	UniRef90_Q8VBZ3
Q9BZ29	UniRef90_Q9BZ29
P21912	UniRef90_P21912
I3LRK6	UniRef90_A0A4X1UPU7
P47813	UniRef90_P47813
Q9D924	UniRef90_Q9D924
O35244	UniRef90_O35244
A6NMU3	UniRef90_Q92783
P80299	UniRef90_P80299
S4R3H4	UniRef90_Q9UKV3
Q9D6K8	UniRef90_Q9D6K8
E5RJI8	UniRef90_A0A2K6D5G9
Q6PEC4	UniRef90_Q9WTX5
B5DEQ3	UniRef90_B7ZMP1
E9PCG9	UniRef90_Q02338
E9PJF0	UniRef90_P27361
Q6PST4	UniRef90_Q8WXF7
D4AE25	UniRef90_D4AE25
Q9DB05	UniRef90_P54920
P12682	UniRef90_P12682
E9PNX1	UniRef90_P50454
F1S4X9	UniRef90_A0A4X1T8D9
P62942	UniRef90_P62942
F5H245	UniRef90_P07864
B5KJG2	UniRef90_P15259
Q9JJG0	UniRef90_Q9JJG0
G5E8V5	UniRef90_Q9WUX5
Q5M7W5	UniRef90_Q5M7W5
F1RKQ8	UniRef90_Q8N684
D3ZAI0	UniRef90_O15042
O95684	UniRef90_O95684
I3LGD6	UniRef90_Q9DCF9
F1SMP2	UniRef90_Q64487-6
P11352	UniRef90_P11352
Q4V328	UniRef90_Q4V328
E7EU09	UniRef90_P16092-5
B8XTR1	UniRef90_Q9NRZ7
M3ZCQ2	UniRef90_O75643
Q92930	UniRef90_Q92930
Q66H32	UniRef90_Q66H32
Q1HAQ0	UniRef90_Q3TFD2
I3LLT6	UniRef90_G3N3P0
Q91W97	UniRef90_Q2TB90-2
M0R248	UniRef90_M0R248
P45700	UniRef90_P45700
A0A140TA33	UniRef90_P22105-1
F1SAY0	UniRef90_F1MT41
D4A8X4	UniRef90_P15087
G5E8A7	UniRef90_Q5PRF9
F1SBH3	UniRef90_O88350
C9JYS8	UniRef90_C9JYS8
F1SPB1	UniRef90_Q32KR8
Q6P792	UniRef90_Q9WUH4
P43244	UniRef90_P43243
A0A1B0GVU9	UniRef90_P47897
O08807	UniRef90_O08807
O75150	UniRef90_O75150
D3ZYY0	UniRef90_Q5M8N4
Q6UN27	UniRef90_Q6UN27
Q9DBV4	UniRef90_Q9DBV4
Q9JMG3	UniRef90_Q9JMG3
A0A1B0GVG2	UniRef90_A0A1B0GVG2
E9PQC9	UniRef90_Q4R3D4
Q61584	UniRef90_P51114
P17156	UniRef90_P54652
G3V2C9	UniRef90_G3V2C9
Q8VE22	UniRef90_Q8VE22
F1RGS0	UniRef90_P49746
F1RFL4	UniRef90_A0A2K6FAP1
B4DGI9	UniRef90_Q99081
A0A087WYR3	UniRef90_A0A087WYR3
Q499X9	UniRef90_Q499X9
M0R4Y0	UniRef90_Q6YAT4
F1SPI2	UniRef90_F1SPI2
P46405	UniRef90_P25398
F1RK00	UniRef90_F1RK00
H3BQW8	UniRef90_Q16775
F1SSZ9	UniRef90_O02810
Q03344	UniRef90_Q03344
P01872	UniRef90_P01872
F1RTF0	UniRef90_F1RTF0
Q03426	UniRef90_Q03426
P20592	UniRef90_P20592
Q6QI24	UniRef90_Q5M929
Q8BSY0	UniRef90_Q8BSY0
A0A087WR45	UniRef90_A0A087WR45
Q9EQ20	UniRef90_Q02253
G3XAK1	UniRef90_P26927
E9PBU7	UniRef90_B4DHN5
G3V6S8	UniRef90_Q13247-3
F1LNF5	UniRef90_Q9JJV9
Q09167	UniRef90_O35326
Q9Z0S1	UniRef90_Q9Z1N4
A6PVS0	UniRef90_Q5M883
A0A2R8YD90	UniRef90_A0A2R8YD90
C9JAM4	UniRef90_Q99685
P34067	UniRef90_P34067
E9PNL5	UniRef90_E9PHZ5
Q9UBP9	UniRef90_Q9UBP9
C9JIK8	UniRef90_C9JIK8
A0A087WX59	UniRef90_A1L5A6
Q9BV20	UniRef90_Q9BV20
F1SUQ7	UniRef90_Q9HCE6
E9PN54	UniRef90_E9PN54
Q5RKJ7	UniRef90_O08989
B7Z6Q0	UniRef90_Q12980
D3ZGB8	UniRef90_D3ZGB8
G3V3K9	UniRef90_G3V3K9
A0A0D9SGC1	UniRef90_A0A0D9SGC1
Q08415	UniRef90_Q08415
P46662	UniRef90_P46662
A0A0G2JYK4	UniRef90_Q4KM51
Q5XI97	UniRef90_Q5XI97
Q9BZV1	UniRef90_Q9BZV1
E9PDF2	UniRef90_A0A2K5HBD9
I3LCI2	UniRef90_P29804
A0A0D9SFE4	UniRef90_A0A0D9SFE4
P02671	UniRef90_P02671
P41350	UniRef90_P41350
Q07014	UniRef90_P07948
Q9Y316	UniRef90_Q9Y316
P08572	UniRef90_P08572
Q16647	UniRef90_Q16647
Q922U1	UniRef90_O43395
Q15111	UniRef90_Q15111
P56536	UniRef90_P28738
F1S001	UniRef90_F1S001
A2A6Q5	UniRef90_A2A6Q5
H7C086	UniRef90_H7C086
A0A5G2RDZ7	UniRef90_A0A2K5EBC8
Q9D071	UniRef90_Q9D071
C9J7H8	UniRef90_A8MW50
C9IZN5	UniRef90_C9IZN5
P15331	UniRef90_P15331
C9J2R5	UniRef90_Q93052
F1RZY7	UniRef90_Q8N122
Q8R0X7	UniRef90_Q8R0X7
F1SUH7	UniRef90_A0A4X1VU31
I3LFL8	UniRef90_Q8N1I0
D3ZXT2	UniRef90_Q8N3U4
P02680	UniRef90_P02680
D3ZTB5	UniRef90_P79342
Q5RK09	UniRef90_Q9Z1D1
Q3UTJ2	UniRef90_Q3UTJ2
I3LBB6	UniRef90_I3LBB6
P86048	UniRef90_P27635
Q8BXN7	UniRef90_Q8BXN7
A0A0A0MTJ6	UniRef90_A0A5F5Y0F9
Q9CPR4	UniRef90_Q9CPR4
P54709	UniRef90_P54709
F1LUQ5	UniRef90_F1LUQ5
A0A0G2JKR7	UniRef90_A0A0G2JKR7
D6RJH7	UniRef90_A0A2K6DUR8
F6PXC7	UniRef90_F6PXC7
Q96CX2	UniRef90_Q6WVG3
A0A2C9F3E8	UniRef90_F1S584
Q3URS9	UniRef90_Q3URS9
B1AH59	UniRef90_Q9H1I8
B0QYF7	UniRef90_P62734
E9Q9B0	UniRef90_Q6A011
P52875	UniRef90_P52875
D3ZXR5	UniRef90_D3ZCR3
H7C342	UniRef90_H7C342
C9J719	UniRef90_A0A494C0F3
Q9NR56	UniRef90_Q9NR56
P22062	UniRef90_P22061
Q5T6H7	UniRef90_Q9NQW7
F1M7B8	UniRef90_Q05086
B6E314	UniRef90_B6E314
A0A0G2JUS7	UniRef90_E9Q933
F6PUU1	UniRef90_F6PUU1
F1RTA3	UniRef90_A0A4X1UX48
P52952	UniRef90_P52952
Q63433	UniRef90_P70268
A0A0A0MT01	UniRef90_P06396
H0Y5Q7	UniRef90_H0Y5Q7
H0Y6G2	UniRef90_Q13555-6
Q9P0K1	UniRef90_Q9P0K1
A2A7P7	UniRef90_Q9JLN5
B1APG1	UniRef90_P22694-4
E9Q3L2	UniRef90_P42356
F1SU35	UniRef90_G1QGJ9
J3QLH6	UniRef90_G3SS12
Q6PDU2	UniRef90_Q99N85
Q86UT6	UniRef90_Q86UT6
E9PMD8	UniRef90_Q3UD94
F1RLI9	UniRef90_F1RLI9
I3L9Y2	UniRef90_I3L9Y2
H0YBF7	UniRef90_H0YBF7
E9PP14	UniRef90_Q13630
E7EQA0	UniRef90_E7EQA0
Q15155	UniRef90_Q15155
Q9Y2Z9	UniRef90_Q9Y2Z9
Q7Z569	UniRef90_Q7Z569
A1XQU7	UniRef90_A1XQU7
A0A1B0GTM0	UniRef90_A0A2I3FVN5
A6NLN1	UniRef90_A0A2J8RA49
C9J7L8	UniRef90_A0A2I3HL89
A0A5G2QKC9	UniRef90_A0A4X1TE56
H0YAG3	UniRef90_H0YAG3
Q4QQW3	UniRef90_Q8R0N6
Q5VWP3	UniRef90_Q5VWP3
P47820	UniRef90_P09470
Q8R1G2	UniRef90_Q8R1G2
P23693	UniRef90_P48787
I3LKY7	UniRef90_A0A452E1V6
A0A087X0W7	UniRef90_P49753
A0A087WWA2	UniRef90_A0A087WWA2
Q6EEV6	UniRef90_Q6EEV6
Q9Z0V5	UniRef90_Q9Z0V5
J3KNS1	UniRef90_Q9UPW5
M0RDX2	UniRef90_Q06335
Q16204	UniRef90_Q16204
E7EU05	UniRef90_P16671
A2AJ76	UniRef90_A2AJ76
P17568	UniRef90_P17568
I3LSD8	UniRef90_I3LSD8
H0Y5G7	UniRef90_H0Y5G7
Q9JI92	UniRef90_O08992
Q8K3F3	UniRef90_Q62084
E9PUC4	UniRef90_Q6NSW3
P55735	UniRef90_P55735
P48643	UniRef90_P48643
O88796	UniRef90_O88796
Q6P1J9	UniRef90_Q6P1J9
Q96NX8	UniRef90_Q96NX8
P51580	UniRef90_P51580
B5DFH4	UniRef90_O88428
F1LXS5	UniRef90_Q9UKL0
F6PVT0	UniRef90_Q14738-3
P23680	UniRef90_P23680
I3L9H4	UniRef90_Q8BWR2
O55158	UniRef90_O55158
F2Z554	UniRef90_A0A4X1TXL9
O43760	UniRef90_O43760
Q9QZH8	UniRef90_Q9QZH8
F1SQK9	UniRef90_Q8C6E0
A0A287B4N0	UniRef90_A0A4X1SK98
F5H2D2	UniRef90_F5H2D2
D4A7R3	UniRef90_Q92621
Q6TXG7	UniRef90_Q6TXG7
A0A480JRW3	UniRef90_A0A6I9ILR6
J3QLS3	UniRef90_A0A2I3T0I2
P62749	UniRef90_P62748
P56480	UniRef90_P06576
A0A1B0GWK9	UniRef90_H0YDB2
Q5SYQ8	UniRef90_P00352
D4AAU4	UniRef90_A0A2K6KDX1
Q01460	UniRef90_Q01460
Q8BGX0	UniRef90_Q8BGX0
A0A087WTB6	UniRef90_A0A087WTB6
Q96H72	UniRef90_Q96H72
E9PGT1	UniRef90_A0A2I3I0D3
I3L9W8	UniRef90_I3L9W8
H0YKL9	UniRef90_A0A2K5CNY9
P36957	UniRef90_P36957
J3KR24	UniRef90_A0A096P232
E7EVZ1	UniRef90_Q86UP3
Q8IY81	UniRef90_Q8IY81
P63155	UniRef90_Q9BZJ0
Q9MYT8	UniRef90_Q9MYT8
F1RQH9	UniRef90_K7GKY0
A0A0G2K719	UniRef90_O00571
Q12980	UniRef90_Q12980
Q7RTV0	UniRef90_Q7RTV0
Q5T5P0	UniRef90_Q5T5P2
Q12824	UniRef90_Q12824
Q86WV2	UniRef90_Q86WV2
A0A5G2QR31	UniRef90_A0A8D1JRK0
H0YNG9	UniRef90_A0A7J5Y869
A0A0A0MY48	UniRef90_P39052
E7ETC9	UniRef90_E7ETC9
E9PT90	UniRef90_Q8R1X6
Q9ER67	UniRef90_Q3TFU3
G3V6C4	UniRef90_O60701
P01040	UniRef90_P01040
Q9Y241	UniRef90_Q9Y241
P62832	UniRef90_P62829
Q9NTZ6	UniRef90_Q9NTZ6
Q60668	UniRef90_Q14103
Q07352	UniRef90_Q07352
B5DF55	UniRef90_B5DF55
D3ZXT8	UniRef90_Q3UR70
E9PLA2	UniRef90_E9PLA2
Q5PY61	UniRef90_Q5PY61
F1LWM1	UniRef90_F1LWM1
Q9CRB9	UniRef90_Q9CRB9
H3BT29	UniRef90_H3BT29
A0A0B4J213	UniRef90_P62888
Q06AT9	UniRef90_Q9BQ04
J3QRH4	UniRef90_J3QRH4
O95825	UniRef90_O95825
E7EN72	UniRef90_Q8WWY3
F1S357	UniRef90_A0A6B0S775
Q920Q6	UniRef90_Q920Q6
H0YIH3	UniRef90_H0YIH3
Q4KLI7	UniRef90_Q12874
Q12899	UniRef90_Q12899
H0Y9Z5	UniRef90_Q96LI5
P0C8E4	UniRef90_P0C8E4
P68134	UniRef90_P68133
Q5T2T1	UniRef90_Q5T2T1
A0A287AN24	UniRef90_A0A5G2R2Q2
Q60960	UniRef90_Q60960
D6R9A6	UniRef90_P30681
A0A2R8YFH6	UniRef90_F6U211
E7EQ12	UniRef90_P20810
F1S8Y8	UniRef90_A0A4X1UE84
P62755	UniRef90_P62753
G3V5R8	UniRef90_P01009
K7ERZ5	UniRef90_P49916
Q6KAR6	UniRef90_O60645
F8W808	UniRef90_F8W808
P26772	UniRef90_P26772
A0A2C9F389	UniRef90_A5D9M6
F2Z5Q7	UniRef90_A0A4V5PB00
F2Z5R6	UniRef90_Q86VP6
P61329	UniRef90_P61328
P05976	UniRef90_P05976
B5DEY8	UniRef90_Q6P8X1
Q61781	UniRef90_Q61781
E9PM36	UniRef90_E9PM36
P17220	UniRef90_P49722
O95081	UniRef90_O95081
A0A287BN69	UniRef90_A0A287BN69
Q13426	UniRef90_Q13426
E5RJX2	UniRef90_E5RJX2
F8W930	UniRef90_Q9Y6M1
H0YL70	UniRef90_H0YL70
F1RKW0	UniRef90_F1RKW0
A0A087WUN7	UniRef90_Q9GZT3
Q9UN70	UniRef90_Q9UN70
Q7M6Y3	UniRef90_Q13492-2
P08228	UniRef90_P08228
E9PDQ8	UniRef90_Q9Z2I8
D4A2D7	UniRef90_Q8VI75
O14579	UniRef90_O14579
Q62318	UniRef90_Q62318
F1SCR9	UniRef90_F1SCR9
A0A140T923	UniRef90_A0A140T923
Q9QUH0	UniRef90_Q9ESH6
P09601	UniRef90_P09601
I3L4Z0	UniRef90_I3L4Z0
Q9BW91	UniRef90_Q9BW91
Q8BHD7	UniRef90_Q8BHD7
Q8BJD1	UniRef90_Q8BJD1
F1SP04	UniRef90_F1SP04
Q5PQQ1	UniRef90_Q923K4
G3V383	UniRef90_G3V2I9
F1M9N9	UniRef90_F1LM42
Q9JJZ4	UniRef90_Q9JJZ4
P30876	UniRef90_P30876
Q6P7B0	UniRef90_P32921
